2022-11-01 13:28:10.518 [main] INFO  mao.use_starter.UseStarterApplication - Starting UseStarterApplication using Java 16.0.2 on mao with PID 3136 (H:\程序\大四上期\logback_spring_boot_starter_demo\use-starter\target\classes started by mao in H:\程序\大四上期\logback_spring_boot_starter_demo)
2022-11-01 13:28:10.523 [main] INFO  mao.use_starter.UseStarterApplication - The following 1 profile is active: "dev"
2022-11-01 13:28:11.402 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-01 13:28:11.411 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-01 13:28:11.412 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-01 13:28:11.413 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.64]
2022-11-01 13:28:11.507 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-01 13:28:11.508 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 946 ms
2022-11-01 13:28:11.868 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-01 13:28:11.884 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-11-01 13:28:11.893 [main] INFO  mao.use_starter.UseStarterApplication - Started UseStarterApplication in 1.803 seconds (JVM running for 2.396)
